DTXSID,label,predicted_proba,is_error,uncertainty_std,nn_tanimoto_to_train,ad_novelty
DTXSID2023143,0.0,0.094,False,0.2918287168871495,0.25,0.75
DTXSID6023153,0.0,0.314,False,0.46411636471902223,0.6388888888888888,0.36111111111111116
DTXSID0023169,0.0,0.45,False,0.49749371855330915,0.2875,0.7125
DTXSID4023171,0.0,0.264,False,0.4407992740465879,0.3333333333333333,0.6666666666666667
DTXSID4023179,0.0,0.46,False,0.4983974317750861,0.515625,0.484375
DTXSID3023180,0.0,0.268,False,0.4429175995600105,0.5625,0.4375
DTXSID8023181,0.0,0.4656,False,0.49849437308759986,0.25949367088607594,0.740506329113924
DTXSID8023187,0.0,0.3635,False,0.48061705129967913,0.27906976744186046,0.7209302325581395
DTXSID7023190,0.0,0.498,False,0.4999959999839986,0.43137254901960786,0.5686274509803921
DTXSID7023194,0.0,0.098,False,0.29731464814233516,0.52,0.48
DTXSID9023201,1.0,0.558,False,0.4966246067202052,0.3392857142857143,0.6607142857142857
DTXSID4023202,0.0,0.4,False,0.48989794855663393,0.4117647058823529,0.5882352941176471
DTXSID7023227,0.0,0.45,False,0.4974937185533092,0.3026315789473684,0.6973684210526316
DTXSID1023281,0.0,0.16,False,0.3666060555964658,0.37209302325581395,0.627906976744186
DTXSID0023298,0.0,0.236,False,0.4246221850068592,0.58,0.42000000000000004
DTXSID1023314,0.0,0.324,False,0.46799999999999764,0.5454545454545454,0.4545454545454546
DTXSID5023322,1.0,0.402,True,0.49030194778319813,0.379746835443038,0.620253164556962
DTXSID5023324,0.0,0.23,False,0.4208325082500156,0.32432432432432434,0.6756756756756757
DTXSID0023325,0.0,0.25,False,0.4330127018922193,0.3333333333333333,0.6666666666666667
DTXSID4023333,1.0,0.562,False,0.4961411089599416,0.6375,0.36250000000000004
DTXSID3023340,0.0,0.262,False,0.43972263985380794,0.24675324675324675,0.7532467532467533
DTXSID8023345,0.0,0.234,False,0.4233721766956334,0.4861111111111111,0.5138888888888888
DTXSID8023347,0.0,0.298,False,0.45737949232557434,0.6212121212121212,0.3787878787878788
DTXSID7023356,0.0,0.25,False,0.4330127018922193,0.2692307692307692,0.7307692307692308
DTXSID1023362,0.0,0.182,False,0.38584452827531485,0.45652173913043476,0.5434782608695652
DTXSID6023363,1.0,0.622,False,0.4848876158451546,0.7121212121212122,0.28787878787878785
DTXSID1023364,0.0,0.268,False,0.44291759956001064,0.6764705882352942,0.32352941176470584
DTXSID6023365,0.0,0.258,False,0.43753399867895915,0.4423076923076923,0.5576923076923077
DTXSID0023377,1.0,0.402,True,0.4903019477831981,0.28205128205128205,0.717948717948718
DTXSID9023386,0.0,0.344,False,0.4750410508577116,0.1958762886597938,0.8041237113402062
DTXSID8023393,0.0,0.444,False,0.4968541033341674,0.21875,0.78125
DTXSID9023413,0.0,0.346,False,0.4756931784249158,0.20754716981132076,0.7924528301886793
DTXSID9023415,0.0,0.236,False,0.4246221850068592,0.35384615384615387,0.6461538461538461
DTXSID3023425,1.0,0.38,True,0.4853864439804647,0.2692307692307692,0.7307692307692308
DTXSID3023427,0.0,0.178,False,0.38251274488570824,0.36363636363636365,0.6363636363636364
DTXSID2023436,0.0,0.06,False,0.2374868417407572,0.4426229508196721,0.5573770491803278
DTXSID6023440,0.0,0.086,False,0.2803640490505157,0.5076923076923077,0.49230769230769234
DTXSID4023462,0.0,0.364,False,0.48114862568649286,0.3695652173913043,0.6304347826086957
DTXSID8023474,1.0,0.36,True,0.47999999999999904,0.3055555555555556,0.6944444444444444
